N,𒀊𒌋,abu,"father; reed-bed"
PRP,𒀜𒄿,adi,"until"
N,𒄴𒌋,ahu,"arm; brother"
J,𒄴𒌌,ahula,"alas!"
QP,𒌷,ali,"where?"
N,𒄞,alpu,"ox"
DP,𒄠𒈪𒌋,amiu,"that"
PRP,𒁹,ana,"to"
N,𒀊𒇻,aplu,"heir"
N,𒀊𒉻𒌋,apatu,"bridle"
N,𒅈𒁺,ardu,"slave"
PRP,𒅈𒆠,arki,"after"
N,𒅈𒋥𒌋,aratu,"curse"
IP,𒀜𒋫,ata,"you"
IP,𒀜𒄽𒌋,atunu,"you (pl.)"
AJ,𒀸𒁍,axbu,"inhabited"
N,𒀸𒌅,axatu,"wife"
AJ,𒁄𒂅,balt+u,"living"
PRP,𒄵𒋾,birti,"between"
N,𒂍,biitu,"house; temple"
AJ,𒁮𒄣,damk+u,"good"
AJ,𒆗,danu,"strong"
N,𒁳𒁍,dibu,"words"
N,𒌈𒄣,dumk+u,"goodness"
N,𒂕𒌅,egertu,"inscribed tablet"
AJ,𒂖𒇻,elu,"pure"
N,𒅁𒀴,eperu,"earth"
N,𒃷,ek+lu,"field"
N,𒂟𒌅,erimtu,"cover(ing)"
N,𒀉𒅎𒈬,et+emu,"ghost"
N,𒃮𒁍,gabu,"totality"
AJ,𒊩𒍑𒁲𒊒,gamuru,"finished"
N,𒄤𒍮,gax+u,"gypsum"
N,𒄣𒄯𒌅,gumurtu,"totality"
AV,𒄯𒁹𒈠,harama,"later"
AJ,𒄯𒁍,harbu,"deserted; early"
N,𒄯𒅎𒌅,harimtu,"(temple) prostitute"
N,𒄯𒊒,haru,"water channel; myrrh"
N,𒄽𒌅,hubtu,"robbery"
N,𒀭,ilu,"god; temple"
N,𒅎𒂇𒌋,imeru,"sheep"
PRP,𒀸,ina,"in"
N,𒅁𒋗,ipxu,"deed"
N,𒈹𒌋,ixtaru,"goddess"
PRP,𒅖𒋾,ixti,"with"
PRP,𒅖𒌅,ixtu,"from"
N,𒆗𒍪,kalzu,"precinct?"
AJ,𒃶𒆪,kanku,"sealed"
AV,𒃶𒋀,kanxix,"submissively"
N,𒆏𒊒,kapru,"village"
AJ,𒋼𒀀𒊒,karu,"put down"
N,𒋼𒀀𒍮,karx+u,"slander"
N,𒆤𒌅,kitu,"truth"
N,𒆧𒁍,kixpu,"sorcery; funerary offering"
N,𒆧𒆳𒌋,kixatu,"totality"
N,𒆧𒊒,kix+ru,"knot"
V,𒆰𒇻,kulu,"hold"
V,𒆰𒈝,kulumu,"show"
AJ,𒆲𒉡,kunu,"fixed"
N,𒆳𒌍𒉡,kursinu,"ankle"
AJ,𒅆𒉡,lemnu,"bad"
N,𒅆𒋸,lemutu,"evil"
N,𒈜𒁍,libu,"interior; wrapping; (a leather bag)"
N,𒁀𒌅,libitu,"mudbrick"
N,𒌓𒋗,lihxu,"whisper(ing)"
N,𒅆,mahru,"front"
AJ,𒅆,mahru,"received"
REL,𒂷,mala,"as much as"
QP,𒌋𒌋𒉡,manu,"who?"
AJ,𒈥𒍮,marx+u,"sick"
N,𒈦𒇡𒌅,max+artu,"observation"
N,𒅖𒆪,milku,"advice"
XP,𒊩𒈠,mima,"anything"
N,𒈮𒅕𒊒,mugeru,"chariot"
N,𒊗,muhu,"skull"
N,𒈮𒀀𒆗,mukilu,"holder"
N,𒄯𒍮,murx+u,"illness"
N,𒄷𒄭𒅕𒊒,muteru,"(re)turner"
N,𒈲𒀜𒁉𒁍,muxadbibu,"that causes someone to speak (sedition)"
N,𒈲𒄠𒄭𒍮,muxamhix+u,"inciter to fight"
N,𒀮𒀠𒃰𒌅,nabalkatu,"crossing"
