av+u+,ⲁⲃⲉ,Subst.,f.,"strap, chain"
av+in,ⲁⲃⲓⲛ,Subst.,,"meaning unknown"
av+ru+m,ⲁⲃⲣⲉⲙ,Subst.,,"baked bread"
av+u+reetx,ⲁⲃⲉⲣⲏϫ,Subst.,m.,"rubellite"
av+eex,ⲁⲃⲏϣ,Subst.,,"meaning unknown"
aiv+u+,ⲁⲓⲃⲉ,Subst.,m.,"stamp, stain"
akee,ⲁⲕⲏ,Subst.,,"meaning unknown"
akoo,ⲁⲕⲱ,Subst.,f.,"decay, loss, destruction"
aklee,ⲁⲕⲗⲏ,Subst.,f.,"a vessel"
ako~wlawtxu+,ⲁⲕⲟⲩⲗⲁⲩϫⲉ,Subst.,f.,"vessel, receptacle"
alil,ⲁⲗⲓⲗ,Subst.,m.,"field mouse, mole"
alo~wla,ⲁⲗⲟⲩⲗⲁ,Subst.,m.,"an insect (locuste or louse?)"
altkas,ⲁⲗⲧⲕⲁⲥ,Subst.,m.,"marrow"
alaw,ⲁⲗⲁⲩ,Adj.,,"white"
amreehu+,ⲁⲙⲣⲏϩⲉ,Subst.,m.,"bitumen, asphalt"
anseev+u+,ⲁⲛⲍⲏⲃⲉ,Subst.,f.,"school"
ano~k,ⲁⲛⲟⲕ,Selbst. Pers. Pron.,,"I"
ano~n,ⲁⲛⲟⲛ,Selbst. Pers. Pron.,,"we"
anro~,ⲁⲛⲣⲟ,Subst.,m.,"porch(?)"
antax,ⲁⲛⲧⲁϣ,Subst.,m.,"sneeze"
anaw,ⲁⲛⲁⲩ,Vb.,,"look!"
anh,ⲁⲛϩ,Subst.,m.,"yard, court"
apa,ⲁⲡⲁ,Subst.,m.,"abbot (\"father\")"
aps,ⲁⲡⲥ,Subst.,f.,"number"
areev+,ⲁⲣⲏⲃ,Subst.,m.,"pledge, deposit (of money)"
arim,ⲁⲣⲓⲙ,Subst.,,"saltwort"
ariru+,ⲁⲣⲓⲣⲉ,Vb.,,"do!"
asik,ⲁⲥⲓⲕ,Subst.,m.,"fever, ague (?)"
aspu+,ⲁⲥⲡⲉ,Subst.,f.,"language, speech, dialect"
