word,translation,pronunciation
awesome,απίθανα,ap(i)cana
cool,τέλεια,t(e+)lia
hello,γειά σου,y(a) su
hi,γειά σου,y(a) su
bye,γειά,y(a)
don't,μη,mi
great,εκπληκτικά,e+kpliktikh(a)
amazing,καταπληκτικά,khatapliktikh(a)
unbelievable,απίστευτα,ap(i)ste+fta
all,όλα,(o)la
every,κάθε,kh(a)ce+
each,κάθε,kh(a)ce+
some,κάποια,kh(a)pya
many,πολλά,pol(a)
much,πολύ,pol(i)
most,περισσότερο,peRis(o)te+Ro
few,μερικά,me+Rikh(a)
least,λιγότερο,ligh(o)te+Ro
greatest,μεγαλύτερο,me+ghal(i)te+Ro
eventually,τελικά,te+likh(a)
often,συχνά,sihn(a)
soon,σύντομα,s(i)doma
maybe,ίσως,(i)sos
potentially,πιθανώς,pican(o)s
possibly,ενδεχομένως,e+nc+e+hom(e+)nos
probably,κατά πάσα πιθανότητα,khat(a) p(a)sa pican(o)tita
and,και,ke+
or,ή,i
if,εάν,e+(a)n
in,μέσα σε,m(e+)sa se+
of,του,tu
to,σε,se+
with,με,me+
for,για,y(a)
not,δεν,c+e+n
but,αλλά,al(a)
although,παρόλο που,paR(o)lo pu
always,πάντα,p(a)nda
the,ο,o
that,εκείνο,e+k(i)no
this,αυτό,aft(o)
these,αυτά,aft(a)
those,εκείνα,e+k(i)na
who,ποιος,pi(o)s
what,τι,ti
when,πότε,pot(e+)
where,που,pu
why,γιατί,yat(i)
how,πως,pos
I,εγώ,e+gh(o)
you,εσύ,e+s(i)
me,μου,mu
they,εκείνοι,e+k(i)ni
them,τους,tus
him,τον,ton
her,την,tin
he,αυτός,aft(o)s
she,αυτή,aft(i)
we,εμείς,e+m(i)s
us,μας,mas
first,πρώτος,pR(o)tos
second,δεύτερος,c+(e+)fte+Ros
third,τρίτος,tR(i)tos
fourth,τέταρτος,t(e+)taRtos
fifth,πέμπτος,p(e+)mptos
sixth,έκτος,(e+)ktos
seventh,έβδομος,(e+)vc+omos
eighth,όγδοος,(o)ghc+oos
nineth,ένατος,(e+)natos
tenth,δέκατος,c+(e+)khatos
hundred,εκατό,e+khat(o)
thousand,χίλια,h(i)lia
million,εκατομμύρια,e+khatom(i)Ria
billion,δισεκατομμύρια,c+ise+khatom(i)Ria
could,μπορεί,boR(i)
would,θα,ca
should,πρέπει,pR(e+)pi
eternal,αιώνια,e+(o)nia
finite,πεπερασμένο,pe+pe+Rasm(e+)no
up,επάνω,e+p(a)no
down,κάτω,kh(a)to
left,αριστερά,aRiste+R(a)
right,δεξιά,c+eksi(a)
top,επάνω,e+p(a)no
bottom,κάτω μέρος,kh(a)to m(e+)Ros
at,στο,sto
while,ενώ,e+n(o)
during,καθώς,khac(o)s
over,πάνω από,p(a)no ap(o)
above,παραπάνω,paRap(a)no
below,παρακάτω,paRakh(a)to
before,πριν,pRin
after,μετά,me+t(a)
between,μεταξύ,me+taks(i)
inside,μέσα,m(e+)sa
outside,έξω,(e+)kso
around,γύρω,y(i)Ro
old,παλιός,pali(o)s
new,νέος,n(e+)os
ahead,μπροστά,bRost(a)
alone,μόνος,m(o)nos
together,μαζί,maz(i)
behind,πίσω,p(i)so
in front of,μπροστά από,bRost(a) ap(o)
rough,τραχύς,tRah(i)s
smooth,ομαλός,omal(o)s
sharp,αιχμηρός,e+hmiR(o)s
dull,θαμπός,cab(o)s
thin,λεπτός,le+pt(o)s
thick,παχύς,pah(i)s
cool,δροσερός,c+RoseR(o)s
warm,ζεστός,ze+st(o)s
available,διαθέσιμος,c+iac(e+)simos
unavailable,μη διαθέσιμος,mi c+iac(e+)simos
average,μέσος όρος,m(e+)sos (o)Ros
away,μακριά,makRi(a)
far,μακριά  (for far away it would be πολύ μακριά),makRi(a) (pol(i) makRi(a))
near,κοντά,kod(a)
super,εξαιρετικά,e+kse+Re+tikh(a)
backward,πίσω,p(i)so
forward,μπροστά,bRost(a)
big,μεγάλος,me+gh(a)los
small,μικρός,mikR(o)s
heavy,βαρύς,vaR(i)s
light,ελαφρύς,e+lafR(i)s
round,στρογγυλός,stRogil(o)s
straight,ευθύς,e+fc(i)s
curved,κυρτός,kiRt(o)s
jagged,ακανόνιστος,akan(o)nistos
advanced,εξελιγμένος,e+kse+lighm(e+)nos
almost,σχεδόν,she+c+(o)n
simple,απλός,apl(o)s
complex,πολύπλοκος,pol(i)plokos
difficult,δύσκολος,c+(i)skolos
easy,εύκολος,(e+)fkolos
fast,γρήγορος,ghR(i)ghoRos
slow,αργός,aRgh(o)s
normal,κανονικός,khanonik(o)s
unique,μοναδικός,monac+ik(o)s
bright,φωτεινός,fotin(o)s
dim,αμυδρός,amic+R(o)s
capable,ικανός,ikhan(o)s
certain,βέβαιος,v(e+)ve+os
clean,καθαρός,khacaR(o)s
dirty,βρώμικος,vR(o)mikos
nice,ωραίος,oR(e+)os
mean,κακός,khak(o)s
good,καλός,khal(o)s
bad,κακός,khak(o)s
positive,θετικός,ce+tik(o)s
negative,αρνητικός,aRnitik(o)s
clever,έξυπνος,(e+)ksipnos
ignorant,ανίδεος,an(i)c+e+os
thoughtful,στοχαστικός,stohastik(o)s
passionate,παθιασμένος,paciasm(e+)nos
interesting,ενδιαφέρον,e+nc+iaf(e+)Ron
exciting,συναρπαστικός,sinaRpastik(o)s
contageous,μεταδοτικός,me+tac+otik(o)s
special,ιδιαίτερος,ic+i(e+)te+Ros
creative,δημιουργικός,c+imiuRyik(o)s
engaging,ελκυστικός,e+lkistik(o)s
cool,απίθανος,ap(i)canos
dark,σκοτεινός,skotin(o)s
deep,βαθύς,vac(i)s
shallow,ρηχός,Rih(o)s
different,διαφορετικός,c+iafoRe+tik(o)s
similar,παρόμοιος,paR(o)mios
diffuse,διάχυτος,c+i(a)hitos
doubtful,αμφίβολος,amf(i)volos
certain,σίγουρος,s(i)ghuRos
dry,στεγνός,ste+ghn(o)s
wet,βρεγμένος,vRe+ghm(e+)nos
subtle,διακριτικός,c+iakritik(o)s
obvious,προφανής,pRofan(i)s
flat,επίπεδος,e+p(i)pe+c+os
empty,άδειος,(a)c+ios
full,γεμάτος,ye+m(a)tos
right,σωστός,sost(o)s
wrong,λανθασμένος,lancasm(e+)nos
stiff,δύσκαμπτος,c+(i)skamptos
flexible,ευέλικτος,e+v(e+)liktos
elegant,κομψός,komps(o)s
long,μακρύς,makR(i)s
short,κοντός,kod(o)s
electric,ηλεκτρικός,ile+ktRik(o)s
fixed/static,στατική,statik(i)
dynamic,δυναμική,c+inamik(i)
end,τέλος,t(e+)los
start/beginning,αρχή,aRh(i)
middle,μέση,m(e+)si
enjoyable,ευχάριστος,e+fh(a)Ristos
loose,χαλαρός,halaR(o)s
expected,αναμενόμενος,aname+n(o)me+nos
surprising,εκπληκτικός,e+kpliktik(o)s
exhalted,υπερηψωμένος,ipe+Ripsom(e+)nos
external,εξωτερικός,e+ksote+Rik(o)s
internal,εσωτερικός,e+sote+Rik(o)s
false,λάθος,l(a)cos
true,σωστό,sost(o)s
standard,πρότυπος,pR(o)tipos
fake,ψεύτικος,ps(e+)ftikos
synthetic,συνθετικός,since+tik(o)s
natural,φυσικός,fisik(o)s
strong,δυνατός,c+inat(o)s
weak,αδύναμος,ac+(i)namos
fluent,άπταιστος,(a)pte+stos
novice,αρχάριος,aRh(a)Rios
edible,βρώσιμος,vR(o)simos
inedible,μη βρώσιμος,mi vR(o)simos
lost,χαμένος,ham(e+)nos
found,βρέθηκα,vR(e+)cikha
fragile,εύθραυστος,(e+)fcRafstos
firm,σταθερός,stace+R(o)s
free,ελεύθερος,e+l(e+)fce+Ros
fresh,φρέσκος,fR(e+)skos
friendly/kind,φιλικός,filik(o)s
funny,αστείος,ast(i)os
fuzzy,φουντωτός,fudot(o)s
fuzzy,ασαφής,asaf(i)s
generic,γενικός,ye+nik(o)s
specific,συγκεκριμένος,sighe+kRim(e+)nos
helpful,εξυπηρετικός,e+ksipiRe+tik(o)s
hurtful,βλαβερός,vlave+R(o)s
graceful,κομψός,komps(o)s
casual,πρόχειρος,pR(o)hiRos
formal,επίσημος,e+p(i)simos
tight,σφιχτός,sfiht(o)s
hairy,τριχωτός,tRihot(o)s
hairless,άτριχος,(a)tRihos
happy,χαρούμενος,haR(u)me+nos
sad,λυπημένος,lipim(e+)nos
angry,θυμωμένος,cimom(e+)nos
confused,μπερδεμένος,be+Rc+e+m(e+)nos
patient,υπομονετικός,ipomone+tik(o)s
calm,ήρεμος,(i)Re+mos
wild,άγριος,(a)ghRios
hard,σκληρός,skliR(o)s
soft,μαλακός,malak(o)s
solid,στερεός,ste+Re+(o)s
liquid,ρευστός,Re+fst(o)s
gaseous,αέριος,a(e+)Rios
hearty,εγκάρδιος,e+g(a)Rc+ios
robust,στιβαρός,stivaR(o)s
quality,ποιοτικός,piotik(o)s
high,υψηλός,ipsil(o)s
low,χαμηλός,hamil(o)s
on,ανοιχτός,aniht(o)s
off,κλειστός,klist(o)s
hot,καυτός,kaft(o)s
freezing,παγωμένος,paghom(e+)nos
hungry,πεινασμένος,pinasm(e+)nos
thirsty,διψασμένος,c+ipsasm(e+)nos
last,τελευταίος,te+le+ft(e+)os
late,καθυστερημένος,khaciste+Rim(e+)nos
early,πρόωρος,pR(o)oRos
significant,σημαντικός,simadik(o)s
loud,ηχηρός,ihiR(o)s
quiet,ήσυχος,(i)sihos
primary,πρωτεύον,pRot(e+)von
secondary,δευτερεύον,c+e+fte+R(e+)von
main,κύριος,k(i)Rios
constant,συνεχής,sine+h(i)s
ready,έτοιμος,(e+)timos
narrow,στενός,ste+n(o)s
wide,ευρύς,e+vR(i)s
necessary,απαραίτητος,apaR(e+)titos
offensive,προσβλητικός,pRosvlitik(o)s
opposite,αντίθετος,ad(i)ce+tos
against,κατά,khat(a)
again,ξανά,ksan(a)
ordinary,συνήθης,sin(i)cis
passive,παθητικός,pacitik(o)s
possible,πιθανός,pican(o)s
probable,ενδεχόμενος,e+nc+e+h(o)me+nos
impossible,αδύνατος,ac+(i)natos
correct,σωστός,sost(o)s
incorrect,εσφαλμένος,e+sfalm(e+)nos
safe,ασφαλής,asfal(i)s
amazing,καταπληκτικός,khatapliktik(o)s
ancient,αρχαίος,aRh(e+)os
wishy washy,αδύναμος,ac+(i)namos
whole,ολόκληρος,ol(o)kliRos
useful,χρήσιμος,hR(i)simos
mental,ψυχικός,psihik(o)s
physical,σωματικός,somatik(o)s
spiritual,πνευματικός,pne+vmatik(o)s
optional,προαιρετικός,proe+Re+tik(o)s
required,υποχρεωτικός,ipohRe+otik(o)s
accomplish,επιτυγχάνω,e+pitinh(a)no
act,ενεργώ,e+ne+Rgh(o)
adapt,αναπροσαμόζω,anapRosaRm(o)zo
add,προσθέτω,pRosc(e+)to
adjust,προσαρμόζω,pRosaRm(o)zo
advise,συμβουλεύω,simvul(e+)vo
aggregate,συγκεντρώνω,sige+dR(o)no
agree,συμφωνώ,simfon(o)
alternate,εναλλάσσω,e+nal(a)so
approve,εγκρίνω,e+gR(i)no
approximate,προσεγγίζω,pRose+g(i)zo
ask,ρωτάω,Rot(a)o
assume,υποθέτω,ipoc(e+)to
attach,επισυνάπτω,e+pisin(a)pto
attempt,επιχειρώ,e+pihiR(o)
attend,παρευρίσκομαι,paRe+vR(i)skome+
attend,παρακολουθώ,paRakoluc(o)
awaken,αφυπνώ,afipn(o)
balance,ισορροπώ,isoRop(o)
be,είμαι,(i)me+
believe,πιστεύω,pist(e+)vo
bend,λυγίζω,liy(i)zo
benefit,επωφελούμαι,epofe+l(u)me+
blend,αναμειγνύω,anamighn(i)o
borrow,δανείζομαι,c+an(i)zome+
bounce,αναπηδώ,anapic+(o)
break,σπάω,sp(a)o
build,κατασκευάζω,khataske+v(a)zo
browse,περιοδεύω,pe+Rioc+(e+)vo
bundle up,κουκουλώνομαι,kukul(o)nome+
buy,αγοράζω,aghoR(a)zo
call,καλώ,khal(o)
