word,translation,pronunciation
awesome,बेहतरीन,behthrin
cool,ज़बरदस्त,jbrdsth
hello,हेलो,helo
hi,हाय,hai
bye,बाई,bai
don't,नहीं,nahi
great,बड़ा,br+r+a
amazing,अद्भुत,adbhut
unbelievable,असंभव,asmbhv
all,सब,sb
every,हर,hr
each,हर एक,hr aek
some,कुछ,kutxh
many,कई,kai
much,क्तिना,kitna
most,बहुत,bhut
few,कुछ,kutxh
least,थोड़ा,thor+r+a
greatest,सबसे बड़ा,sbse br+r+a
eventually,आख़िरकार,aakhirkaar
often,अक्सर,aksr
soon,जल्दी,jald hi
maybe,हो सकता है,ho skta hai
potentially,संभाव्यता,smbhavytha
possibly,मुमकिन है,mumkin hai
probably,शायद,shayd
and,और,aoor
or,या,ya
if,अगर,agr
in,अंदर,andr
of,का,ka
to,को,ko
with,के साथ,ke sath
for,के लिए,ke liye
not,नहीं,nahi
but,लेकिन,lekin
although,हालांकि,haalanki
always,हमेशा,hamesha
the,वह,wo+h
that,वह,wo+h
this,यह,yeh
these,यह सब,yeh sb
those,वह सब,wo+h sb
who,कोन,koon
what,क्या,kya
when,कब,kb
where,कहां,kahan
why,क्यों,kyun
how,कैसे,kaese
I,मैं,mai
you,तुम,tum
me,मैं,mai
they,वह,wo+h
them,उन्हें,unhen
him,उसे,use
her,उसे,use
he,वह,wo+h
she,वह,wo+h
we,हम,hm
us,हम सब,hm sb
first,पहला,pehla
second,दूसरा,dusra
third,तीसरा,teesra
fourth,चौथा,chautha
fifth,पांचवां,pantxwan'
sixth,छठा,txhata
seventh,सातवां,satwan'
eighth,आठवां,aathwan'
nineth,नवां,nawan'
tenth,दसवां,nawan'
hundred,सौ,saw
thousand,हज़ार,hjaar
million,दस लाख,ds lakh
billion,एक अरब,aik arb
could,सकता है,skta hai
would,चाहें गे,txahen' ge
should,चाहिए,txahiee
eternal,अनादि,anadi'
finite,सीमित,simi't
up,ऊपर,uupr
down,नीचे,nitxe
left,बाएं,baen'
right,दाएं,daen'
top,ऊपर,uupr
bottom,नीचे,nitxe
at,पर,pr
while,जबकि,jbke
during,दौरान,dauraan
over,ऊपर,uupr
above,ऊपर,uupr
below,नीचे,nitxe
before,पहले,pehle
after,बाद,bad
between,बीच में,beetx main'
inside,भीतर,bheetr
outside,बाहर,bahr
around,चारों ओर,txaroon' aoor
old,पुराना,purana
new,नया,nya
ahead,आगे,aage
alone,अकेला,akaila
together,एक साथ,aik sath
behind,पीछे,pitxhe
in front of,सामने,samne
rough,खुरदुरा,khurdura
smooth,चिकना,txikna
sharp,तेज़,teez
dull,सुस्त,susth
thin,पतला,ptla
thick,मोटा,mota
cool,ठंडा,thand+a
warm,गरम,garm
available,उपलब्ध,uplabdh
unavailable,अनुपलब्ध,anuplabdh
average,औसत,aust
away,दूर,duur
far,दूर,duur
near,पास,pas
super,बेहतरीन,beht+hreen
backward,पीछे,peetxhe
forward,आगे,aage
big,बड़ा,br+r+a
small,छोटा,txhota
heavy,भारी,bhari
light,हल्का,hlka
round,गोल,gol
straight,सीधा,sidha
curved,मुड़ा हुवा,mur+r+a huwa
jagged,खुरदुरा,khurdura
advanced,आधुनिक,aadhunik
almost,लग भग,lg bhg
simple,सरल,srl
complex,जटिल,jtil
difficult,जटिल,jtil
easy,सरल,srl
fast,तेज,teez
slow,धीरे,dhiire
normal,साधारण,sadharn
unique,अनोखा,anokha
bright,चमकदार,txamkdar
dim,मध्यम,mdhym
capable,योग्य,yog'eye'
certain,निश्चित,nishtxit
clean,साफ़,saf
dirty,गंदा,gnda
nice,अच्छा,atxtxha
mean,मतलबी,mtlabi
good,अच्छा,atxtxha
bad,बुरा,bura
positive,सकारात्मक,skaratmk
negative,नकारात्मक,nkaratmk
clever,चालाक,txalaak
ignorant,अनजान,anjan
thoughtful,विचारशील,vitxarshil
passionate,उत्साहित,utsahi'th
interesting,दिलचस्प,di'ltxasp
exciting,उत्साहित,utsahi'th
contageous,छूत,txuuth
special,खास,khas
creative,सृजनशील,sere'jnashil
engaging,आकर्षक,aakars+hak
cool,ज़बरदस्त,jbrdsth
dark,अंधेरा,andhera
deep,गहरा,gehra
shallow,ऊपरी,uupri
different,अलग,alg
similar,एक समान,aik saman
diffuse,फैलाना,fhailana
doubtful,संदेह,sandeh
certain,निश्चित,nishtxit
dry,सूखा,suh+a
wet,गीला,gila
subtle,सूक्ष्म,shukshm'
obvious,जाहिर,zahir
flat,चपटा,txpta
empty,खाली,h+ali
full,पूरा,pura
right,सही,sahi
wrong,गलत,ghalat
stiff,सख़्त,sah+th
flexible,नरम,narm
elegant,सुंदर,sundr
long,लम्बा,lmba
short,छोटा,txota
electric,बिजली,bijli
fixed/static,स्थिर,isthir
dynamic,गतिशील,gatishiil
end,अंत,anth
start/beginning,शुरुआत,shuru'at
middle,बीच,biitx
enjoyable,मज़ेदार,mazedar
loose,ढीला,d+hila
expected,अपेक्षित,apekshit
surprising,आश्चर्य,aas+htxarye'
exalted,महान,mahaan
external,बाहरी,ba'hri
internal,अंदर,andar
false,गलत,ghalat
true,सही,sahi
standard,मानक,manak
fake,नकली,nqli
synthetic,बनावटी,banauwati
natural,प्राकृतिक,prakratik
strong,मज़बूत,majboot
weak,कमज़ोर,kmjoor
fluent,सहज,sahj
novice,अनाड़ी,anar+r+i
edible,खाने लायक,khane laek
inedible,न खाने लायक,na khane laek
lost,खोया,khoya
found,पाया,paya
fragile,नाज़ुक,nazuk
firm,मज़बूत,majboot
free,आज़ाद,aajad
fresh,ताज़ा,taza
friendly/kind,दयालु,dayalu
funny,मजेदार,mazedar
fuzzy,धुंदला,dhundla
fuzzy,चक्राना,txakrana
generic,सामान्य,samaniye
specific,असामान्य,asamaniye
helpful,सहायक,sahayak
hurtful,हानिकारक,hanikarak
graceful,आकर्षक,aakars+hak
casual,साधारण,sadharn
formal,सामान्य,samaniye
tight,तंग,tang
hairy,रोएंदार,roendar
hairless,बिना बाल के,bina bal ke
happy,खुश,h+ush
sad,उदास,udas
angry,गुस्सा,gussa
confused,परेशान,pareshan
patient,सबर,sbr
calm,शांत,shaanth
wild,जंगली,jangli
hard,ठोस,thos
soft,नरम,narm
solid,ठोस,thos
liquid,तरल,taral
gaseous,गैस,ges
hearty,ज़िंदादिल,zindadil
robust,मजबूत,mazbut
quality,गुण,gun
high,ऊंचा,uuntxa
low,नीचे,nitxe
on,चालू,txalu
off,बंद,band
hot,गरम,garam
freezing,जमना,jmna
hungry,भूखा,bhukha
thirsty,प्यासा,piyasa
last,आखिरी,aah+ri
late,देर,de+r
early,जल्दी,jaldi
significant,महत्वपूर्ण,mahatvapuurn'
loud,जोरदार,zordar
quiet,शांत,chant
primary,प्राथमिक,prathami'k
secondary,माध्यमिक,madhyami'k
main,मुख्य,mukhye
constant,स्थिर,isthir
ready,तैयार,taiyar
narrow,तंग,tang
wide,चौड़ा,txaur+r+a
necessary,ज़रूरी,jaruri
offensive,अपमानजनक,apmanjnak
opposite,विपरीत,vi'prit
against,विरुद्ध,virudh
again,दुबारा,dubara
ordinary,साधारण,sadharn
passive,निष्क्रिय,nishkriye'
possible,संभव,smbhav
probable,संभावित,smbhavit
impossible,असंभव,asmbhav
correct,सही,sahi
incorrect,ग़लत,ghalat
safe,सुरक्षित,surakshit
amazing,अद्भुत,adbhut
ancient,प्राचीन,pratxin
wishy washy,उलझन,ulajhna
whole,पूरा,pura
useful,उपयोगी,upyogi
mental,मानसिक,mansik
physical,शारीरिक,sharirik
spiritual,आध्यात्मिक,aadhyatmi'k
optional,वैकल्पिक,veiklpi'k
required,ज़रूरी,jaruri
accomplish,पूरा करना,pura krna
act,कार्य,karye'
adapt,ढलना,d+hlna
add,जोड़ना,jor+r+na
adjust,ढालना,d+halna
advise,राय देना,rai dena
aggregate,इकट्ठा,ikattha
agree,राज़ी,raji
alternate,एकान्तर,aikantra'
approve,मंजूर,mnjur
approximate,लग भग,lg bhg
ask,पूछना,putxna
assume,कल्पना करना,klpana krna
attach,जोड़ना,jor+r+na
attempt,चेष्टा,txes+tha
attend,उपस्थित होना,upsthith hona
attend,ध्यान देना,dheyaan dena
awaken,जगाना,jgana
balance,संतुलन,sntulan
be,होना,hona
believe,विश्वास करना,vis+hwas krna
bend,मोड़ना,mor+r+na
benefit,फायदा,fhaida
blend,मिलाना,milana
borrow,उधार लेना,udhaar lena
bounce,उछलना,utxhalna
break,टूटना,tutna
build,बनाना,bnana
browse,जांचना,jantxna
bundle up,पैक करना,pec krna
buy,खरीदना,h+aridna
call,बुलाना,bulana
carry,उठाना,uthana
catch,पकड़ना,pkar+r+na
categorize,वर्गीकृत करना,vrgikirit krna
cause,कारण,karan'
change,परिवर्तन,privrtn
check,जांच करना,jantx krna
continue,जारी रहना,jari rkhna
chip,टुकड़े करना,tukr+r+e krna
choose,चुनें,txunen'
chop,काटना,katna
classify,वर्गीकृत करना,vrgikirit krna
clean,साफ़,saf
climb,चढना,txar+r+na
clone,नकल बनाना,naql bnana
collect,इकट्ठा करना,ikattha krna
come,आना,aana
compute,हिसाब करना,hisab krna
communicate,संपर्क करना,smprk krna
congratulate,बधाई देना,bdhai dena
consider,ध्यान रखना,dheyaan rakhna
count,गिनती करना,ginti krna
crack,दरार,drar
crawl,रेंगना,rein'gna
cover,ढांकना,d+ha'nkna
create,बनाना,bnana
cross,पार करना,par krna
dance,नाच,naatx
decide,फ़ैसला करना,fhesla krna
delay,देर,deer
deliver,पहुंचाना,pahuntxana
demonstrate,दिखाना,dikhana
digest,हजम करना,hajm krna
divide,बांटना,ba'ntna
draw,चित्र बनाना,txitr bnana
dream,सपना,spna
drink,पीना,piina
drip,टपकना,tapkna
drive,गाड़ी चलाना,gar+r+i txalana
drop,गिराना,girana
drum,ढोल बजाना,d+hol bjana
eat,खाना,khana
do,करना,krna
drain,निकासी करना,nikasi krna
energize,जोशीला करना,joshila krna
engage,काम पर लगाना,kaam pr lgana
