aa,ᐋ,, ""
aa,ᐋ,intransitive verb root, "to choke from emotional cause,  like crying or laughing"
aayuk+,ᐋᔪᖅ,intransitive verb root, "to be moist"
aaka,ᐋᒃᑲ,, ""
aaktuk+,ᐋᒃᑐᖅ,intransitive verb root, "to skin  an animal ); to skin  s.t. (an animal (-mik); to skin  it (an animal )"
aala,ᐋᓪᓚ,nominal root, "stranger"
aalir~ak+,ᐋᓪᓕᕋᖅ,nominal root, "table"
aamai,ᐋᒪᐃ,, ""
aaqa,ᐋᖓ,intransitive verb root, "to be in a torpor"
aanik+,ᐋᓐᓂᖅ,intransitive verb root, "to be in pain"
aak+ik,ᐋᖅᑭᒃ,transitive verb root, "to correct,  fix,  repair,  adjust,  heal it; to correct,  fix,  repair,  adjust,  heal s.t.  (-mik); to correct,  fix,  repair,  adjust,  heal itself; to be corrected,  be fixed,  be repaired,  be adjusted,  be healed"
aar~l+uk+,ᐋᕐᖢᖅ,intransitive verb root, "to look up; to look up at s.t. (-mik); to look up at it"
aar~iak+,ᐋᕆᐊᖅ,nominal root, "back"
aar~luk,ᐋᕐᓗᒃ,nominal root, "killer whale"
aar~qa,ᐋᕐᖓ,, ""
aasit,ᐋᓯᑦ,, ""
aasivak,ᐋᓯᕙᒃ,nominal root, "earth spider"
aat,ᐋᑦ,transitive verb root, "1. to offer,  give,  bring it to someone (-mut); 2. to take it away forcibly from someone (-mit); 1. to offer,  give,  bring s.t.  (-mik) to someone (-mut); 2. to take s.t.  (-mik) away forcibly from someone (-mit); 1. to be offered,  be given,  be brought to someone (-mut); 2. to be taken away forcibly from someone (-mit)"
aatayak+,ᐋᑕᔭᖅ,nominal root, "small bag of sand or fine stones used in game of catch"
aatayak+,ᐋᑕᔭᖅ,intransitive verb root, "to play traditional game of catch"
aatak+,ᐋᑦᑕᖅ,intransitive verb root, "to be afraid of what others will say about s.t.; to be afraid of what others will say about s.t. (-mik); to be afraid of what others will say about it"
abguk+,ᐊᑉᒍᖅ,transitive verb root, "to cut it up in small pieces; to cut s.t.  (-mik) up in small pieces; to be cut up in small pieces"
ablaak+,ᐊᑉᓛᖅ,intransitive verb root, "to open one's legs in stride position; to open one's legs in stride position over s.t. (-mik); to open one's legs in stride position over it"
abluk+,ᐊᑉᓗᖅ,intransitive verb root, "to step or stride forward; to step or stride forward over s.t. (-mik); to step or stride forward over it"
abvak+,ᐊᑉᕙᖅ,nominal root, "(1) part"
agak,ᐊᒡᒐᒃ,nominal root, "hand"
agak,ᐊᒡᒐᒃ,nominal root, "(1) glove (2) saw-handle of hand-saw"
agik+,ᐊᒡᒋᖅ,nominal root, "meat cooked on open fire or spit"
agik+,ᐊᒡᒋᖅ,intransitive verb root, "to come home"
agik+,ᐊᒡᒋᖅ,transitive verb root, "to cook it over open flame or on spit; to cook s.t.  (-mik) over open flame or on spit; to cook over open flame or on spit; to be cooked over open flame or on spit"
aguak+,ᐊᒡᒍᐊᖅ,transitive verb root, "to patch it (a garment) in overlap fashion; to patch s.t.  (-mik) (a garment) in overlap fashion; to be patched (a garment) in overlap fashion"
aguk+,ᐊᒡᒍᖅ,nominal root, "windward side of prevailing wind"
aguk+,ᐊᒡᒍᖅ,intransitive verb root, "to face or travel into the wind"
agiak+,ᐊᒋᐊᖅ,nominal root, "metal file or rasp"
agiak+,ᐊᒋᐊᖅ,intransitive verb root, "to file  s.t.;  to use a file on s.t.; to file  s.t. (-mik) ;  to use a file on s.t.; to file  it ;  to use a file on s.t."
agli,ᐊᒡᓕ,intransitive verb root, "to grow or get bigger"
aglir~uk,ᐊᒡᓕᕈᒃ,nominal root, "jaw"
aglu,ᐊᒡᓗ,nominal root, "seal's breathing hole"
agvaik+,ᐊᒡᕙᐃᖅ,transitive verb root, "to take it out of the way; to take s.t.  (-mik) out of the way; to be taken out of the way"
agviak+,ᐊᒡᕕᐊᖅ,intransitive verb root, "to be in the way"
agvik,ᐊᒡᕕᒃ,nominal root, "platform for scraping wet skins"
ai,ᐊᐃ,, ""
ai,ᐊᐃ,nominal root, "man's sister-in-law"
ai,ᐊᐃ,intransitive verb root, "to go"
aiyur~ak+,ᐊᐃᔪᕋᖅ,nominal root, "long-distance sea-ice crack"
aiyur~ak+,ᐊᐃᔪᕋᖅ,intransitive verb root, "to develop long cracks,  speaking of the sea ice"
aikl+ik+,ᐊᐃᒃᖠᖅ,intransitive verb root, "to fetch s.t.; to fetch s.t. (-mik); to fetch it"
ailak+,ᐊᐃᓚᖅ,nominal root, "moisture"
ailak+,ᐊᐃᓚᖅ,intransitive verb root, "to be damp with moisture,  wet with dew,  etc."
ailii,ᐊᐃᓪᓖ,intransitive verb root, "to have one's feet perspire"
aimaqnak+,ᐊᐃᒪᖕᓇᖅ,nominal root, "caribou without horns or calf"
aipa,ᐊᐃᐸ,nominal root, "another one"
aipa,ᐊᐃᐸ,intransitive verb root, "to be raw or uncooked"
aipak+,ᐊᐃᐸᖅ,nominal root, "wife-swapping partner"
aipak+,ᐊᐃᑉᐸᖅ,nominal root, "second,  companion,  spouse"
aik+,ᐊᐃᖅ,nominal root, "sleeve"
aik+,ᐊᐃᖅ,intransitive verb root, "to have sleeves,  speaking of a garment"
