pronunciation,kana,kanji,meaning
noma,のま,々,"kanji repetition mark"
maru,まる,○,"circle (sometimes used for zero)"
meihaku,めいはく,明白,"obvious, clear, plain, evident, apparent, explicit, overt"
akarasama,あからさま,明白,"plain, frank, candid, open, direct, straightforward, unabashed, blatant, flagrant"
asirau,あしらう,遇う,"to treat, to handle, to deal with"
asoko,あそこ,彼処,"there (place physically distant from both speaker and listener), over there, that place, yonder, you-know-where"
ano,あの,彼の,"that, those, the"
anohito,あのひと,あの人,"he, she, that person"
anokata,あのかた,あの方,"that gentleman, that lady, he, she"
ara,あら,𩺊,"saw-edged perch (Niphon spinosus)"
are,あれ,彼,"that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly)"
iitosiwosite,いいとしをして,いい年をして,"(in spite of) being old enough to know better"
iyaiya,いやいや,否々,"no!, no no!, no, not at all"
ikanimo,いかにも,如何にも,"indeed, really, truly, just (like)"
ikutumo,いくつも,幾つも,"many, much, plenty"
ikenai,いけない,行けない,"wrong, not good, of no use"
itumoyori,いつもより,何時もより,"more than usual"
inase,いなせ,鯔背,"gallant, dashing, smart"
inanaku,いななく,嘶く,"to neigh"
inanaki,いななき,嘶き,"neigh, whinny, bray"
iyani,いやに,嫌に,"awfully, terribly"
uneri,うねり,畝り,"undulation, winding, meandering"
urotaeru,うろたえる,狼狽える,"to be flustered, to lose one's presence of mind"
ei,えい,鱝,"ray (any fish of superorder Batoidea)"
etu,えつ,斉魚,"Japanese grenadier anchovy (Coilia nasus)"
onara,おなら,屁,"wind, gas, fart"
omakeni,おまけに,お負けに,"to make matters worse, besides, what's more, in addition, on top of that"
omekasi,おめかし,お粧し,"dressing up"
okasi,おかし,お菓子,"confections, sweets, candy, cake"
okaerinasai,おかえりなさい,お帰りなさい,"welcome home"
oyasuminasai,おやすみなさい,お休みなさい,"good night"
omiya,おみや,お宮,"Shinto shrine"
omiyamairi,おみやまいり,お宮参り,"miyamairi, newborn child's first visit to a shrine (within about 30 days of being born)"
otomo,おとも,お供,"attendant, companion"
okane,おかね,お金,"money"
omieninaru,おみえになる,お見えになる,"to arrive"
omimai,おみまい,お見舞い,"calling on someone who is ill, enquiry, inquiry"
ohuru,おふる,お古,"used article (esp. clothes)"
okonomiyaki,おこのみやき,お好み焼き,"okonomiyaki, savoury pancake containing meat or seafood and vegetables"
okamainaku,おかまいなく,お構いなく,"please don't fuss over me, don't go to any trouble, don't bother"
osatu,おさつ,お札,"bill, note (currency)"
omairi,おまいり,お参り,"visit (to a shrine, grave, etc.), worship"
osimai,おしまい,お仕舞い,"the end, closing, being done for"
otukai,おつかい,お使い,"errand, mission, going as envoy"
okosama,おこさま,お子様,"(someone else's) child"
ositiya,おしちや,お七夜,"name-giving ceremony"
omamori,おまもり,お守り,"charm, amulet"
otemori,おてもり,お手盛り,"making arbitrary decisions which benefit oneself, self-approved plan"
otearai,おてあらい,お手洗い,"toilet, restroom, lavatory, bathroom"
omesi,おめし,お召し,"summoning, calling, riding, wearing, dressing, clothing"
omesimono,おめしもの,お召し物,"clothing"
osusume,おすすめ,お勧め,"recommendation, advice, suggestion, encouragement"
osiri,おしり,お尻,"bottom, buttocks"
ohitasi,おひたし,お浸し,"boiled greens in bonito-flavoured soy sauce (vegetable side dish)"
omiki,おみき,お神酒,"sacred wine or sake, sake offered to the gods"
osewaninaru,おせわになる,お世話になる,"to be much obliged (to someone), to receive favor (favour), to be indebted, to be grateful"
oainikusama,おあいにくさま,お生憎様,"that's too bad, too bad for you!"
osakini,おさきに,お先に,"before, previously"
omae,おまえ,お前,"you"
ohukuro,おふくろ,お袋,"one's mother"
otaku,おたく,お宅,"your house, your home, your family"
osirase,おしらせ,お知らせ,"notice, notification"
otoso,おとそ,お屠蘇,"New Year's sake, spiced sake"
oyu,おゆ,お湯,"hot water"
otoku,おとく,お得,"economical, bargain, good value, good-value"
otukaresama,おつかれさま,お疲れ様,"thank you, many thanks, much appreciated"
otuki,おつき,お付き,"retainer, attendant, escort"
ohuronihairu,おふろにはいる,お風呂に入る,"to take a bath, to have a bath"
onaka,おなか,お腹,"belly, abdomen, stomach"
owakare,おわかれ,お別れ,"parting, farewell"
okaesi,おかえし,お返し,"return gift, return favour (favor)"
