u+,ᐋ,"well"
u+,ᐋ,"ah
u+tsu+hko+s,ᐊᒑᐦᑯᐢ,"star
u+tsu+hko+si+wi+w,ᐊᒑᐦᑯᓯᐃᐧᐤ,"it is a star; s/he is a star (e.g. in movies
u+tsu+wesi+w,ᐊᒑᐁᐧᓯᐤ,"s/he buys a little (of it)
u+tsu+wewi+ku+mi+ko+s,ᐊᒑᐁᐧᐃᐧᑲᒥᑯᐢ,"little store
u+tsi+tsi+,ᐊᒋᒋ,"head down; upside down"
u+tsi+tsi+ku+pu+wi+w,ᐊᒋᒋᑳᐸᐃᐧᐤ,"s/he stands bent over"
u+tsi+tsi+pu+yi+ho+w,ᐊᒋᒋᐸᔨᐦᐅᐤ,"s/he throws him/herself head first
u+tsi+tsi+pu+yi+w,ᐊᒋᒋᐸᔨᐤ,"s/he falls head first
u+tsi+tsi+si+n,ᐊᒋᒋᓯᐣ,"s/he lies with head down or facing away"
u+tsi+tsi+wi+hew,ᐊᒋᒋᐃᐧᐦᐁᐤ,"s/he arrives ahead of s.o."
u+tsi+hko+s,ᐊᒋᐦᑯᐢ,"caribou calf
u+tsi+hko+si+s,ᐊᒋᐦᑯᓯᐢ,"caribou calf
u+tsi+hti+n,ᐋᒋᐦᑎᐣ,"it catches in the corners so as to be blocked or stuck"
u+tsi+ku+si+mi+n,ᐊᒋᑳᓯᒥᐣ,"evergreen berry; kinnikinnick berry
u+tsi+ku+si+pu+kwu+,ᐊᒋᑳᓯᐸᑲᐧ,"bearberry leaves; plant-like evergreen (mixed with tobacco in kinnikinnick) [Lt. Arctostaphylos uva-ursi]"
u+tsi+ku+stepi+tsi+ku+n,ᐋᒋᑳᐢᑌᐱᒋᑲᐣ,"movie
u+tsi+kehwew,ᐋᒋᑫᐦᐁᐧᐤ,"s/he trips s.o."
u+tsi+kewepu+hwew,ᐋᒋᑫᐁᐧᐸᐦᐁᐧᐤ,"s/he trips and throws s.o."
u+tsi+mew,ᐋᒋᒣᐤ,"s/he tells about s.o.
u+tsi+mi+ko+wi+si+w,ᐋᒋᒥᑯᐃᐧᓯᐤ,"s/he is told about by the powers"
u+tsi+mi+ko+wi+si+wi+n,ᐋᒋᒥᑯᐃᐧᓯᐃᐧᐣ,"fame"
u+tsi+mi+so+stu+kew,ᐋᒋᒥᓱᐢᑖᑫᐤ,"s/he provides information about him/herself
u+tsi+mi+so+stu+kewi+n,ᐋᒋᒥᓱᐢᑖᑫᐃᐧᐣ,"confession (e.g. to a priest)"
u+tsi+mi+so+w,ᐋᒋᒥᓱᐤ,"s/he tells about him/herself
u+tsi+mi+so+wi+n,ᐋᒋᒥᓱᐃᐧᐣ,"autobiography
u+tsi+mohew,ᐋᒋᒨᐦᐁᐤ,"s/he makes s.o. tell about (it)
u+tsi+momu+ku+n,ᐋᒋᒨᒪᑲᐣ,"it tells a story
u+tsi+mo+meyi+si+mi+n,ᐊᒋᒧᒣᔨᓯᒥᐣ,"cactus berry
u+tsi+mo+si+s,ᐊᒋᒧᓯᐢ,"pup
u+tsi+mo+stu+kew,ᐋᒋᒧᐢᑖᑫᐤ,"s/he provides information to people
u+tsi+mo+stu+kewi+n,ᐋᒋᒧᐢᑖᑫᐃᐧᐣ,"providing information
u+tsi+mo+stu+mu+wew,ᐋᒋᒧᐢᑕᒪᐁᐧᐤ,"s/he tells tales to s.o."
u+tsi+mo+stu+so+w,ᐋᒋᒧᐢᑖᓱᐤ,"s/he narrates to him/herself
u+tsi+mo+stu+to+wu+k,ᐋᒋᒧᐢᑖᑐᐊᐧᐠ,"they tell stories to one another
u+tsi+mo+stu+to+wi+n,ᐋᒋᒧᐢᑖᑐᐃᐧᐣ,"news told to one another"
u+tsi+mo+stu+wew,ᐋᒋᒧᐢᑕᐁᐧᐤ,"s/he tells a story to s.o.
u+tsi+mo+w,ᐋᒋᒧᐤ,"s/he tells
u+tsi+mo+wu+si+nu+hi+ku+n,ᐋᒋᒧᐊᐧᓯᓇᐦᐃᑲᐣ,"newspaper"
u+tsi+mo+wu+si+nu+hi+ku+ni+s,ᐋᒋᒧᐊᐧᓯᓇᐦᐃᑲᓂᐢ,"newsletter"
u+tsi+mo+wi+n,ᐋᒋᒧᐃᐧᐣ,"story
u+tsi+mo+wi+ni+s,ᐋᒋᒧᐃᐧᓂᐢ,"story
u+tsi+si+n,ᐋᒋᓯᐣ,"s/he is blocked"
u+tsi+tu+ko+tsi+n,ᐊᒋᑕᑯᒋᐣ,"s/he hangs head downwards"
u+tsi+tu+ko+tu+w,ᐊᒋᑕᑯᑖᐤ,"s/he hangs s.t. head down"
u+tsi+tu+ko+tew,ᐊᒋᑕᑯᑌᐤ,"it hangs head downwards"
u+tsi+tu+ko+tew,ᐊᒋᑕᑯᑌᐤ,"s/he hangs s.o. head down"
u+tsi+tu+mo+w,ᐊᒋᑕᒧᐤ,"s/he hangs with bottom up
u+tsi+tu+ski+hew,ᐊᒋᑕᐢᑭᐦᐁᐤ,"s/he sets s.o. upside down"
u+tsi+tu+ski+so+w,ᐊᒋᑕᐢᑭᓱᐤ,"s/he stands (bent over) with head near ground (as when hoeing
u+tsi+tu+ski+tu+w,ᐊᒋᑕᐢᑭᑖᐤ,"s/he sets s.t. upside down (e.g. a post in the ground)"
u+tsi+tu+ski+tew,ᐊᒋᑕᐢᑭᑌᐤ,"it is set upside down (e.g. a post in the ground)"
u+tsi+tu+stu+w,ᐊᒋᑕᐢᑖᐤ,"s/he puts s.t. upside down; s/he sets s.t. upside down"
u+tsi+tu+stew,ᐊᒋᑕᐢᑌᐤ,"it is upside down
u+tsi+ti+nu+m,ᐊᒋᑎᓇᒼ,"s/he holds s.t. upside down"
u+tsi+ti+new,ᐊᒋᑎᓀᐤ,"s/he holds s.o. with head down
u+tsi+ti+si+n,ᐊᒋᑎᓯᐣ,"s/he lies with head down or facing away"
u+tsi+wi+hew,ᐋᒋᐃᐧᐦᐁᐤ,"s/he lessens s.o.
u+tsi+wi+hi+so+w,ᐋᒋᐃᐧᐦᐃᓱᐤ,"s/he deprecates him/herself
u+tsi+wi+hko+tu+m,ᐋᒋᐃᐧᐦᑯᑕᒼ,"s/he whittles s.t. down
u+tsi+wi+hko+tew,ᐋᒋᐃᐧᐦᑯᑌᐤ,"it is whittled down
u+tsi+wi+hko+tew,ᐋᒋᐃᐧᐦᑯᑌᐤ,"s/he whittles s.o. down
u+tsi+wi+ku+hu+m,ᐋᒋᐃᐧᑲᐦᐊᒼ,"s/he hews s.t. short
u+tsi+wi+ku+hwew,ᐋᒋᐃᐧᑲᐦᐁᐧᐤ,"s/he hews s.o. short
u+tsi+wi+nu+m,ᐋᒋᐃᐧᓇᒼ,"s/he makes s.t. less; s/he lessens s.t.; s/he decreases s.t."
u+tsi+wi+nu+mu+wew,ᐋᒋᐃᐧᓇᒪᐁᐧᐤ,"s/he gives s.o. less (e.g. food)"
u+tsi+wi+new,ᐋᒋᐃᐧᓀᐤ,"s/he gives s.o. less; s/he removes part of s.o.'s allotment
u+tsi+wi+ni+kew,ᐋᒋᐃᐧᓂᑫᐤ,"s/he makes things less; s/he lessens things; s/he decreases things
u+tsi+wi+ni+kewi+n,ᐋᒋᐃᐧᓂᑫᐃᐧᐣ,"reduction
u+tsi+wi+pu+yi+w,ᐋᒋᐃᐧᐸᔨᐤ,"it shrinks; it shrivels"
u+tsi+wi+pi+tsi+kewi+n,ᐋᒋᐃᐧᐱᒋᑫᐃᐧᐣ,"abatement
u+tsi+wi+po+tu+w,ᐋᒋᐃᐧᐳᑖᐤ,"s/he saws s.t. short"
u+tsi+wi+po+tew,ᐋᒋᐃᐧᐳᑌᐤ,"s/he saws s.o. short"
u+tsi+wi+su+m,ᐋᒋᐃᐧᓴᒼ,"s/he cuts s.t. short"
u+tsi+wi+swew,ᐋᒋᐃᐧᓭᐧᐤ,"s/he cuts s.o. short"
u+tsi+yu+w,ᐊᒋᔭ,"for a short while
u+tso+s,ᐊᒍᐢ,"arrow
u+tso+si+s,ᐊᒍᓯᐢ,"arrow
u+tso+sku+tsu+si+w,ᐊᒍᐢᑳᒐᓯᐤ,"s/he works a little at s.t."
u+tso+skesi+w,ᐊᒍᐢᑫᓯᐤ,"s/he works a little"
u+tso+skewi+ni+s,ᐊᒍᐢᑫᐃᐧᓂᐢ,"chore
u+h,ᐊᐦ,"ho!"
u+h,ᐋᐦ,"eh? what? what's that?"
