word,translation,pronunciation
awesome,அற்புதம்,u+t+r+pud+(u+)m
cool,குளிர்,k+u+l(i)r
hello,வணக்கம்,vu+n+u+k+(u+)m
hi,வணக்கம்,vu+n+u+k+(u+)m
bye,போய் வருகிறேன்,po+iv(u+)rugir+e+n
don't,வேண்டாம்,v(e+)nd+aam
great,சிறப்பு,x(i)r+u+pu+
amazing,ஆச்சரியமாக இருக்கிறது,aatx(u+)riyu+maaku+ iruk+iru+cu+
unbelievable,நம்பமுடியாத,nu+mb(u+)mud+iyaad+u+
all,அனைத்தும்,u+n+u+(i)cum
every,ஒவ்வொரு,oV(o)r+u+
each,ஒவ்வொன்றும்,oVont+r+(u+)m
some,சில,xil(u+)
many,நிறைய,nir+u+iy(u+)
much,அதிகம்,u+d+ig+u+(m)
most,பெரும்பாலாக,pe+r+umpu+l(aa)ghu+
few,சில,xil(u+)
least,குறைந்தது,kur+(u+)indu+d+u+
greatest,உயரிய,ooiu+riy(u+)
eventually,இறுதியில்,ir+u+d+y(i)l
often,அடிக்கடி,u+d+ik+(u+)d+i
soon,விரைவில்,vir+(u+)iVil
maybe,இருக்கலாம்,irk+u+l(aa)m
potentially,சாத்தியமான,xu+thiyu+maan(u+)
possibly,இயலுமாயின்,iyu+lum(u+)ayn
probably,அநேகமாக,u+ne+g(u+)mu+ag+u+
and,மற்றும்,m(u+)t+r+um
or,அல்லது,u+L(u+)d+hu
if,என்றால்,a+nt+r+aal
in,இல்,(i)l
of,இன்,(i)n+
to,க்கு,(i)k+u
with,உடன்,ud+(u+)n
for,க்காக,k+aag(u+)
not,இல்லை,ill(u+)i
but,ஆனால்,aanaal
although,இருப்பினும்,ir+up(i)n+u+m
always,எப்போதும்,e+pud+(u+)m
the,அந்த,u+nd+(u+)
that,அந்த,u+nd+(u+)
this,இந்த,ind+(u+)
these,இவை,iv(u+)i
those,அவை,u+v(u+)i
who,யார்,yaar
what,என்ன,a+n+(u+)
when,எப்பொழுது,a+polud+(u)
where,எங்கே,a+nge+
why,ஏன்,a+a+n+
how,எப்படி,a+p(u+)d+i
I,நான்,naan+
you,நீ,nee(i)
me,என்னை,a+n+(u+)i
they,அவைகள்,u+vu+ik(u+)l
them,அவர்களுக்கு,u+vu+rk(u+)lu+k+u+
him,அவரை,u+vu+r(u+)i
her,அவளை,u+v(u+)lu+i
he,அவர்,u+v(u+)r
she,அவள்,(u+)vu+l
we,நாங்கள்,naan+k(u+)l
us,எங்களுக்கு,a+nku+lu+k+(u+)
first,முதல்,mu+d+(u+)l
second,இரண்டாவது,e+r(u+)n+d+aavu+d+u+
third,மூன்றாவது,munr+aav(u+)tu+
fourth,நான்காவது,naanku+v(u+)d+u+
fifth,ஐந்தாவது,u+ind+aav(u+)d+u+
sixth,ஆறாவது,aar+aav(u+)du+
seventh,ஏழாவது,e+daaw(u+)d+u+
eighth,எட்டாவது,e+taav(u+)du+
nineth,ஒன்பதாவது,onb(u+)daavu+du+
tenth,பத்தாவது,pu+taav(u+)du+
hundred,நூறு,nur+(u)
thousand,ஆயிரம்,aaiyr+(u+)m
million,மில்லியன்,miLliy(u+)n
billion,பில்லியன்,BiLliy(u+)n
could,முடியும்,mu+d+y(u+)m
would,என்று,e+nt+r+(u+)
should,வேண்டும்,ve+nd+(u+)m
eternal,நித்தியம்,nit+iy(u+)m
finite,வரையறுக்கப்பட்ட,vu+r+u+iyu+r+u+k+u+ppu+t+(u+)
up,மேலே,ma+a+l(e+)
down,கீழே,keel(e+)
left,இடது,ed+(u+)du+
right,வலது,vu+l(u+)du+
top,உச்சி,u+tx(i)
bottom,அடிப்பறம்,u+dipur+(u+)m
at,இல்,(i)ll
while,போது,pud+(u)
during,போது,pud+(u)
over,மேலாக,me+laak(u+)
above,மேலே,ma+a+l(e+)
below,கீழே,keel(e+)
before,முன்பு,munb(u+)
after,பிறகு,pir+(u+)ku+
between,இடையில்,id+(u+)iyl
inside,உள்ளே,uLl(e+)
outside,வெளியே,ve+l(i)ye+
around,சுற்றி,x(u)t+r+i+
old,பழைய,pu+du+iy(u+)
new,புதிய,pu+du+iy(u+)
ahead,முன்னால்,m(u+)n+aall
alone,தனியாக,tahn(i)yaaku+
together,ஒன்றாக,ondr+aak(u+)
behind,பின்புறமாக,pinpu+r+u+maak(u+)
in front of,முன்புறமாக,mu+npu+r+u+maak(u+)
rough,கரடுமுரடான,kahru+du+mu+r(u+)daanu+
smooth,மென்மையான,ma+nmu+iyaan(u+)
sharp,கூர்மையான,kurm(u+)iyaanu+
dull,மந்தமான,mu+nd(u+)maanu+
thin,ஒல்லியான,oLliyaan(u+)
thick,அடர்த்தியான,u+du+rc+iyaan(u+)
cool,குளிர்ச்சியான,ku+litr+txiyaan(u+)
warm,சூடான,xudaan(u+)
available,கிடைக்ககூடிய,kid+u+ik+u+kood+iy(u+)
unavailable,கிடைக்காத,kid+u+ik+aad(u+)
average,சராசரி,xu+raax(u+)ri
away,அப்பால்,(u+)paal
far,தொலைவில்,tol(u+)ivil
near,அருகில்,(u+)ru+kil
super,அருமை,u+ru+m(u+)i
backward,பின்னோக்கி,pin+uk+(i)
forward,முன்னோக்கி,mu+n+uk+(i)
big,பெரிய,pa+riy(u+)
small,சிறிய,xir+iy(u+)
heavy,சுமையான,xumu+iyaan+(u+)
light,லேசான,le+txaan(u+)
round,வட்டமான,vu+t+u+maan(u+)
straight,நேராக,ne+raak(u+)
curved,வளைந்த,vu+lu+ind(u+)
jagged,துண்டிக்கப்பட்ட,tu+nd+ik+u+p(u+)t+u+
advanced,மேம்படுத்தபட்ட,me+mpu+du+t+u+p(u+)t+u+
almost,கிட்டத்தட்ட,kit+u+c+(u+)t+u+
simple,எளிய,a+liy(u+)
complex,சிக்கலான,xik+u+laan(u+)
difficult,கஷ்டமான,ku+xt(u+)maanu+
easy,எளிதான,elidaan(u+)
fast,விரைவான,viru+ivaan(u+)
slow,மெதுவான,meduvaan(u+)
normal,சாதாரண,xaadaar(u+)nu+
unique,தனித்துவமான,t(u+)ncc+uvu+maanu+
bright,பிரகாசமான,piru+kaatxu+maan(u+)
dim,மங்கலான,m(u+)nku+laanu+
capable,திறனான,tir+(u+)naanu+
certain,உறுதியான,u+r+u+diyaan(u+)
clean,சுத்தமான,xu+c+u+maan(u+)
dirty,அழுக்கான,(u+)lu+k+aanu+
nice,அருமையான,ahru+mu+iyaan(u+)
mean,இழிவான,iLivaan(u+)
good,நல்ல,n(u+)Llu+
bad,மோசமான,mooxu+maan(u+)
positive,நேர்மறையான,ne+rmu+r(u+)iyaanu+
negative,எதிர்மறையான,edirmu+r(u+)iyaanu+
